# deck: Portuguese::Frequency Master
# notetype: Portuguese (EP) – Frequency
# separator: Tab
Rank	Lemma_PT	POS	Gloss_EN	Variety	Register_Flags	Range_Blocks	Raw_Freq	Example_PT	Example_EN	Freq_Band	Thematic_Source	Tags
1671	básico	aj	basic	EP				os japoneses conseguiram atacar de surpresa • não se pode comprar os alimentos básicos eafundaram três cruzadores	The Japanese com o salário mínimo – It is impossible to succeeded in attacking them by surprise and buy basic food goods with the minimum wage. sunk three cruisers. 73 | 1640+s-f 72 | 1327	1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::aj
1672	semente	nf	seed	EP						1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::noun.fem
1673	osso	nm	bone	EP						1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::noun.masc
1674	frequência	nf	frequency, rate	EP				oministro afirmou que houve progresso do • amaior frequência da doença ocorre ponto de vista qualitativo	The minister durante a época de chuvas – The illness affirmed that from a qualitative point of view occurs with the greatest frequency during the there has been progress. rainy season. 74 | 815 73 | 1373+a	1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::noun.fem
1675	conquista	nf	conquest	EP				França, Holanda e Inglaterra partiam à • ela ouviu tiros de revólver e fugiu	conquista das riquezas do Novo Mundo – She heard gun shots and ran away. France, Holland, and England departed to 73 | 1207 conquest riches of the New World.	1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::noun.fem
1676	arquitectura	nf	architecture económicas feitas pela coroa espanhola –	EP				os três prédios são bem representativos da The Dutch opposed the economic demands arquitetura antiga da cidade	The three made by the Spanish crown. buildings are very representative of the 74 | 862 ancient architecture of the city.	1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::noun.fem
1677	encaminhar	v	to direct, put on the right path guerra – He chose the first option and left for	EP				ele também é o responsável por encaminhar the war. os pedidos de materiais à central	He is 73 | 1381+n +s -f also responsible for directing supply requests on to headquarters.	1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::verb
1678	fiel	aj	faithful range of activities.	EP				era um fiel devoto da Igreja	He was a 74 | 1061 faithful member of the Church.	1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::aj
1679	seguida	av	(em s.) afterwards, then que fez ao eleitorado – The party is not	EP				épreso e, em seguida, mandado para a fulfilling the promises it made its constituency. Sibéria	He was captured and, afterwards, 74 | 988 sent to Siberia. 74 | 1013	1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::av
1680	escudo	nm	shield, old Portuguese coin [EP] molecular – He works in a molecular	EP				os guerreiros protegeram-se com os escudos. neurology laboratory. [EP]	The warriors protected themselves 74 | 884+s with their shields. 74 | 857	1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::noun.masc
1681	proceder	v	to proceed risco de doença cardiovascular – Another	EP				ogoverno anterior procedeu a uma important benefit is a reduced risk of profunda reorganização	The previous cardiovascular disease. government proceeded to undertake a 74 | 932 profound reorganization. 74 | 894	1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::verb
1682	complicado	aj	complicated mento de Jesus Cristo como marco	EP				no entanto, esta fórmula é um tanto referencial	The international calendar complicada e de difícil interpretação – takes the birth of Jesus Christ as a reference However, this formula is a bit complicated point. and difficult to interpret. 73 | 1028 74 | 729+s	1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::aj
1683	quadrado	na	square, squared	EP						1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::na
1684	condenar	v	to condemn 73 | 1262	EP				ele a entregou aos tribunais, que a condenaram a morrer queimada	He	1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::verb
1685	património	nm	estate, heritage, patrimony	EP						1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::noun.masc
1686	destinado	aj	meant for, destined	EP				alenha destinada às fogueiras já se		1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::aj
1687	visar	v	to aim at, have in sight, drive at	EP				são mudanças que visam reforçar nossos		1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::verb
1688	transformação	nf	transformation	EP						1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::noun.fem
1689	interpretação	nf	interpretation	EP				seus estatutos são uma mistura confusa de • houve, subsequentemente, várias socialismo neo-marxista e de nacionalismo interpretações das cláusulas do tratado	Their guiding principles are a hodgepodge –Subsequently, there were various mixture of neo-Marxist socialism and interpretations of the clauses of the nationalism. treaty. 73 | 896 73 | 1141	1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::noun.fem
1690	veículo	nm	vehicle	EP				muito obrigada pelas suas palavras e pelo • oacidente resultou do embate de um tempo que nos concedeu	Thank you very segundo veículo no automóvel – The much for your words and for your time. accident resulted from a second vehicle 72 | 1000 colliding with the car. 72 | 1612	1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::noun.masc
1691	gato	nm	cat de nos matares – Idon’t know what you	EP				epor isso o cachorro e o gato ficaram and your father are going to do after you kill inimigos	And for that reason the dog and us. the cat became enemies. 70 | 3738+f +s -a -n 73 | 1071	1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::noun.masc
1692	aéreo	aj	by air, aerial	EP				Ofutebol brasileiro surpreendeu o mundo • os bombardeios aéreos tiveram o seu início na Copa de 1970 com esta seleção	na I Grande Guerra – Aerial bombing had its Brazilian soccer astonished the world with beginnings in World War I. their team in the World Cup of 1970. 73 | 1194 73 | 1097 1693 ontem n/av yesterday	1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::aj
1694	conferência	nf	conference	EP				suas ruínas ocupam uma área de 13 • as conferências internacionais de quilômetros quadrados	Its ruins occupy an paz falharam repetidamente, a guerra area of 13 square kilometers. intensificou-se – The international peace 74 | 880 conferences failed repeatedly and the war became more intense.	1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::noun.fem
1695	criado	nm	servant delivered her to the tribunal, which	EP				chamara o criado e pedira mais vinho	He condemned her to be burned alive. had called for the servant and had ordered 73 | 925 more wine. 72 | 1600+f	1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::noun.masc
1696	tecnologia	nf	technology	EP				em meio à riqueza e ao luxo, ele fez decair • aaeronáutica e outras altas tecnologias opatrimônio da família	In the midst of contribuíram para a industrialização wealth and luxury, he caused the family’s do Texas – Aeronautics and other estate to decline. advanced technologies contributed to the industrialization of Texas. 72 | 1533 72 | 1873+s-f	1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::noun.fem
1697	adaptar	v	toadapt encontrava no terreiro – The wood meant to	EP				temos, pois, é que adaptar o ambiente à be used in the bonfires was already in the city criança, e não o contrário	Therefore, we square. must adapt the environment to the child, and not vice versa. 73 | 1357 73 | 907	1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::verb
1698	barra	nf	stripe, bar	EP				ela adorava o prato de porcelana de listras negócios	They are changes that aim at azuis – She loved the blue striped porcelain reinforcing our business. plate. 73 | 1211-f 74 | 744	1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::noun.fem
1699	hotel	nm	hotel	EP				esta etapa exige a transformação radical das • desembarquei com os dois e acabámos por estruturas políticas e econômicas das nações ficar num hotel	Idisembarked with the –This phase will require the radical two of them and we ended up lodging in a transformation of the nations’ financial and hotel. political structures. 71 | 1503-a 73 | 1042	1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::noun.masc
1700	mistura	nf	mixture, mix	EP						1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::noun.fem
1701	obrigado	aj	thank you, obligated	EP						1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::aj
1702	teu	aj	your, yours, thy, thine	EP				não sei o que tu e o teu pai ides fazer depois		1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::aj
1703	copa	nf	cup (competition), tree top	EP						1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::noun.fem
1704	romper	v	to tear, rip, begin to (+se)	EP				as coisas pioraram muito, de ontem para • alua irrompeu por trás das nuvens	hoje – Things got worse from yesterday to The moon broke through from behind the today. clouds. 68 | 7316+n -a [AV] 73 | 1050 86	1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::verb
1705	comandar	v	tocommand, lead	EP						1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::verb
1706	respectivo	aj	respective	EP						1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::aj
1707	avaliação	nf	assessment	EP				aabóbada da Capela Sistina foi pintada pelo • aavaliação foi feita por dois juízes	grande Michelangelo – The ceiling of the The assessment was made by two judges. Sistine Chapel was painted by the great 71 | 1911-f Michelangelo. 73 | 840	1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::noun.fem
1708	dólar	nm	dollar	EP				ofilme custou 90 milhões de dólares		1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::noun.masc
1709	identidade	nf	identity 72 | 1728+a	EP				asua verdadeira identidade não foi revelada	His true identity was not revealed.	1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::noun.fem
1710	salto	nm	leap, jump two of the program’s episodes.	EP				de um salto pus-me de pé e corri	73 | 812 In a single leap, I got to my feet and ran. 73 | 863	1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::noun.masc
1711	centena	nf	ahundred suas duas óperas – The most famous of his	EP				em julho, dezenas de pessoas morreram e compositions are his two operas. centenas ficaram desabrigadas	In July, 72 | 1444+a tens of people died and hundreds became homeless.	1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::noun.fem
1712	interromper	v	to interrupt vote.	EP				Paulo pisava de leve para não interromper a 71 | 1614+n -a oração da mãe	Paulo stepped lightly so as to not interrupt his mother’s prayer.	1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::verb
1713	músico	na	musician, musical the phases of a woman’s menstrual cycle.	EP				os músicos tocavam com entusiasmo, 72 | 1249 toda a gente dançava	The musicians played enthusiastically; everybody was	1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::na
1714	capa	nf	cover, cape, cloak of the world.	EP				ele leu o título na capa do livro	He read 71 | 1640 the title on the cover of the book. 73 | 879	1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::noun.fem
1715	roubar	v	to steal, rob havia excesso de oferta – At the beginning of	EP				você roubou as coisas dele	You stole his 1993, demand was low; there was an excess things. of supply. 72 | 1157 73 | 792	1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::verb
1716	paciente	na	patient	EP						1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::na
1717	jurídico	aj	judicial	EP						1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::aj
1718	adversário	nm	opponent, adversary	EP				durante a I Guerra Mundial ele comandou • posso gabar-me de nunca ter deixado de pé uma força polonesa a favor dos alemães	umúnico dos meus adversários – Ican brag During World War I, he commanded a Polish that I’ve never left one of my opponents force fighting for the Germans. standing. 73|1016 72 | 1238+n	1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::noun.masc
1719	prejuízo	nm	damage, loss	EP				nohinduísmo, cada divindade tem o • umterremoto matou dez pessoas e causou respectivo equivalente feminino	In grandes prejuízos – An earthquake killed ten Hinduism, every divinity has its respective people and resulted in great damage. female equivalent. 73 | 1042 72 | 1530	1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::noun.masc
1720	capela	nf	chapel	EP						1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::noun.fem
1721	grego	na	Greek The movie cost 90 million dollars.	EP				omuseu abriga obras-primas da escultura 70|1760+n grega e romana	The museum houses masterpieces of Greek and Roman sculpture.	1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::na
1722	episódio	nm	episode 74 | 723	EP				aatriz também participou em dois episódios do programa	The actress also appeared in	1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::noun.masc
1723	composição	nf	composition	EP				as mais famosas composições dele são as		1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::noun.fem
1724	adiantar	v	to put forth, move forward 73 | 989	EP				oministro não quis adiantar o seu voto	The minister didn’t want to put forth his	1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::verb
1725	ciclo	nm	cycle 73 | 1199	EP				aovulação é uma das fases do ciclo menstrual da mulher	Ovulation is one of	1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::noun.masc
1726	existente	aj	existing dancing.	EP				onúmero de espécies existentes varia nas 73 | 800+s diversas regiões do mundo	The number of existing species varies in the various regions	1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::aj
1727	excesso	nm	excess	EP				no início de 1993, o consumo foi baixo,		1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::noun.masc
1728	tecto	nm	ceiling	EP				tive que esperar e ser paciente para saber • os tectos e mezaninos desses salões foram qual seria	Ihad to wait and be patient to decorados – The ceilings and mezzanines of know which one it would be. the large rooms were decorated. 73 | 1124 73 | 959	1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::noun.masc
1729	rosto	nm	face	EP				alei garante os mesmos direitos jurídicos • então ele viu as lágrimas que lhe rolavam aos homossexuais	The law guarantees the pelo rosto – Then he saw the tears that were same judicial rights to homosexuals. rolling down her face. 72 | 1199 70 | 3031+f -a	1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::noun.masc
1730	revolucionário	na	revolutionary	EP						1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::na
1731	lobo	nm	wolf	EP						1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::noun.masc
1732	açúcar	nm	sugar	EP				oadoçante é mais doce do que o açúcar de		1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::noun.masc
1733	denunciar	v	to denounce 73 | 1166-s	EP				chorando muito, Cristiane confessou o		1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::verb
1734	associado	na	associated, associate 71 | 1655+n	EP				ele era o deus do céu, associado ao		1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::na
1735	organismo	nm	organism, organization	EP						1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::noun.masc
1736	rendimento	nm	profit, revenue	EP						1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::noun.masc
1737	rumo	nm	course of action, way, path	EP						1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::noun.masc
1738	encerrar	v	to close, end	EP				em Portugal a Universidade Aberta existe • os trabalhos encerrarão com uma reunião como estabelecimento oficial desde 1988	plenária final em Lisboa – The conference will In Portugal, the Open University has existed close with a final plenary meeting in Lisbon. as an official establishment since 1988. 73 | 986+n 73 | 1185	1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::verb
1739	concerto	nm	concert	EP				ele adorava os concertos para piano e		1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::noun.masc
1740	electrónico	aj	electronic	EP				deve ser evitada a transmissão, por meio		1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::aj
1741	mostra	nf	sampling, exhibition, display	EP				ofestival de cinema incluirá uma mostra de		1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::noun.fem
1742	trecho	nm	excerpt, passage	EP				há filmes sobre o revolucionário Ernesto • por exemplo, considere o trecho de texto “Che” Guevara	There are films about the abaixo – For example, consider the excerpt revolutionary leader Ernesto “Che” Guevara. from the text below. 73|862 73 | 819	1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::noun.masc
1743	intervir	v	tointervene	EP				aquele que está vestido de pele de ovelha é • as duas nações declararam-se neutras e lobo	He who is dressed in sheep’s clothing não intervieram – The two nations is the wolf. declared themselves to be neutral and didn’t 74 | 672+s intervene. 74 | 638	1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::verb
1744	ferir	v	to wound, hurt cana – The substitute is sweeter than sugar	EP				os hindus acreditam que é errado matar ou cane. ferir qualquer animal	The Hindus believe 73 | 842 that it is wrong to kill or wound any animal.	1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::verb
1745	agência	nf	agency crime e denunciou Mateus – Crying a lot,	EP				estamos dependendo da regulamentação Cristiane admitted to the crime and pela Agência Nacional de Petróleo	We are denounced Mateus. depending on regulations issued by the 72 | 994+n National Petroleum Agency.	1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::noun.fem
1746	latino	na	relating to Latin America, Latin relâmpago e ao trovão – He was the god of	EP				éimportante melhorar os salários na the sky, associated with lightning and América Latina	It’s important to raise thunder. salaries in Latin America. 71 | 1768 73 | 902	1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::na
1747	placa	nf	plate, plaque, sign	EP				os óleos são imediatamente absorvidos pelo • Nnão lhe ocorreu anotar a placa do carro; organismo através da circulação sanguínea ela estava muito nervosa	It didn’t occur to –Oils are immediately absorbed by the her to write down the car’s license plate; she organism through its blood circulation. was very nervous. 71 | 1614+a 73 | 954	1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::noun.fem
1748	mandato	nm	mandate	EP				com rendimentos tão baixos essas cidades • aopção pela periferia foi feita em Braga no arrecadam pouco em impostos	With mandato do vereador – The decision in favor profits so low, these cities have collected little of the outskirts was made in Braga by in the way of taxes. mandate the city councilman. 73 | 935 72 | 1407-f	1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::noun.masc
1749	praticamente	av	practically	EP				ocapitão perguntou-lhe respeitosamente • achacina destes animais levou praticamente que rumo devia tomar	The captain àextinção – The slaughter of these animals respectfully asked him what course of action practically led to their extinction. he should take. 73 | 802 73 | 924	1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::av
1750	estabelecimento	nm	establishment	EP						1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::noun.masc
1751	ignorar	v	to ignore orquestra – He loved concerts for piano and	EP				tomadas de imensa curiosidade, ignoraram a orchestra. advertência	Taken by immense curiosity, they ignored the warning. 73 | 797 73 | 954	1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::verb
1752	brilhante	aj	bright, brilliant eletrônico – Transmission by electronic	EP				alguns animais possuem cores brilhantes means should be avoided. que servem de aviso	Some animals have bright colors that serve as warnings. 72 | 1263 73 | 973	1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::aj
1753	ser	nm	being filmes brasileiros – The film festival will	EP				oser mais perfeito de todos é Deus	include a sampling of Brazilian films. The most perfect being of all is God. 73 | 847 73 | 988+a +s 88 12.Professions presidente 190 president pintor 1350 painter agricultor 2774 farmer professor 245 professor, representante 1377 condutor 2843 driver, teacher representative (also ADJ) director político 329 politician comandante 1391 atleta 2844 athlete (also political) commander historiador 2910 historian militar 354 soldier empregado 1400 employee caçador 2972 hunter (also military) operário 1647 worker, vice-presidente 2977 ministro 372 minister laborer, operator vice-president autor 391 author músico 1713 musician (also musical) repórter 2990 reporter artista 405 artist produtor 1760 producer vendedor 3144 vendor, seller médico 409 doctor (also medical) empresário 1811 business reitor 3203 dean director 487 director owner operador 3257 operator doutor 533 doctor especialista 1813 specialist pescador 3302 fisherman trabalhador 560 worker cantor 1866 singer investigador 3329 escritor 590 writer coronel 1882 coronel researcher, investigator profissional 621 professional senador 1992 senator monge 3341 monk (also ADJ) capitão 2080 captain coordenador 3384 oficial 658 official (also ADJ) conselheiro 2111 counselor coordinator deputado 676 congressman, actriz 2162 actress vereador 3393 city council representative comerciante 2227 member poeta 798 poet salesperson, business economista 3512 economist person chefe 802 chief, boss bombeiro 3529 fireman pastor 2241 pastor, técnico 825 coach, pesquisador 3580 shepherd technician (also technical) researcher, investigator cientista 2274 scientist advogado 838 lawyer sacerdote 3582 priest arquitecto 2351 architect governador 887 governor accionista 3622 primeiro-ministro 2384 funcionário 888 employee, stockholder prime-minister worker intérprete 3637 performer, piloto 2386 pilot actor 973 actor interpreter patrão 2420 boss, business juiz 1001 judge, referee bailarina 3731 ballerina owner, proprietor secretário 1032 secretary treinador 3768 coach, embaixador 2440 general 1080 general trainer ambassador mestre 1084 teacher escultor 3780 sculptor enfermeiro 2488 nurse (also person in charge) filósofo 2573 philosopher pianista 3916 pianist soldado 1090 soldier magistrado 2584 magistrate marinheiro 3974 sailor, jornalista 1097 journalist seaman cavaleiro 2590 horseman engenheiro 1111 engineer (also knight) lavrador 4037 peasant, dono 1124 boss, owner farmer editor 2684 editor agente 1178 agent diplomata 4231 diplomat fotógrafo 2695 jogador 1295 player photographer banqueiro 4360 banker	1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::noun.masc
1754	saco	nm	bag, sack, pouch	EP						1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::noun.masc
1755	departamento	nm	department	EP				em frente a uma mercearia fechada, viu • ela é a diretora do Departamento de sacos de lixo amontoados	In front of a Recursos Naturais Renováveis – She is the closed grocery store, he saw a pile of trash director of the Department of Natural bags. Renewable Resources. 73 | 824 72 | 1236-f	1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::noun.masc
1756	amizade	nf	friendship	EP						1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::noun.fem
1757	perfil	nm	profile	EP				ofamoso perfil de sua fotografia nos mostra		1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::noun.masc
1758	porco	nm	pig, pork	EP				oporco para engordar bem tem que ser		1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::noun.masc
1759	assentar	v	tosettle, rest on	EP						1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::verb
1760	produtor	na	producing, producer	EP						1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::na
1761	retrato	nm	picture, portrait	EP						1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::noun.masc
1762	bruto	aj	rude, gross (income or manner) city of São Paulo, were the first.	EP				ela às vezes perdia a paciência, era bruta 71 | 1251+n para com o marido	She sometimes lost her	1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::aj
1763	queimar	v	to burn equipment was able to take the most	EP				suas palavras queimavam os meus ouvidos beautiful photos ever taken of the Milky assim como o fogo queima a lenha	His Way. words burned my ears as fire burns wood. 72 | 932+s 72 | 851	1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::verb
1764	globo	nm	globe	EP				hoje em dia, as aplicações do laser são • há um aumento da temperatura média no inúmeras	Nowadays, the applications of globo – There has been an increase in the lasers are innumerable. average temperature around the globe. 69 | 2041 72 | 799 | +s	1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::noun.masc
1765	bispo	nm	bishop	EP				os estudos foram conduzidos em ratos	• aIgreja Anglicana possui três ordens: bispo, The studies were conducted on mice. padre e diácono – The Anglican Church has 72 | 725 three orders: bishop, priest and deacon.	1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::noun.masc
1766	mente	nf	mind dos relatórios distribuídos – The president	EP				vieram-lhe à mente imagens da sua vida apologized for the content of the reports política	Images of his political life came to distributed. his mind. 71 | 1166 73 | 716	1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::noun.fem
1767	parlamentar	aj	parliamentary	EP				ele ganhou inúmeros prémios e medalhas • nesse ano, o partido conseguiu a maioria pela sua carreira	He won innumerable dos assentos parlamentares – In that year, rewards and medals during his career. the Party was able to win the majority of 72 | 1059 parliamentary seats.	1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::aj
1768	significativo	aj	significant, meaningful constitucional, instituindo o estado de	EP				era uma quantia significativa para quem não guerra	He managed to get a constitutional possuía nada – It was a significant amount amendment from Congress that initiated a for one had nothing. state of war. 71 | 1372 72 | 1109-f 90	1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::aj
1769	falha	nf	flaw, fault, failure	EP				com ele, estabeleci laços de amizade	• omodelo tem uma só falha: o câmbio Iforged ties of friendship with him. mecânico impreciso – The model has only 73 | 801 one flaw: imprecise mechanical exchange. 73|727	1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::noun.fem
1770	marcha	nf	march, long walk, parade [EP] um rosto simples – His famous profile on his	EP				amarcha para o oeste não foi uma picture reveals a simple face. conquista fácil	The march west was not an 73 | 714 easy endeavor. 72 | 1051	1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::noun.fem
1771	horário	nm	business hours, schedule, hours muito bem cuidado – Pigs, in order to fatten	EP				ohorário de funcionamento é das 9 às up properly, have to be well cared for. 17 horas	Business hours are from 9 to 5. 72|920+s -n 71 | 1030	1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::noun.masc
1772	extensão	nf	extension, extent	EP				quando nós finalmente assentámos o • esse músculo é responsável pela extensão e assunto, foi tarde demais	When we finally rotação da coxa – This muscle is responsible settle the issue, it was too late. for the extension and rotation of the thigh. 73 | 749 72 | 1032	1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::noun.fem
1773	vaca	nf	cow	EP				as maiores áreas produtoras de trigo no • há mais de 300 cabeças de gado, a maior mundo são as que se situam na Ucrânia	parte vacas leiteiras – There are more than The largest wheat producing areas in the three hundred head of cattle, the greater part world are those found in Ukraine. being milking cows. 71 | 1641+s -f 72 | 872+s -a	1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::noun.fem
1774	paulista	na	from São Paulo [BP]	EP				beijo o retrato dele às vezes	Ikiss his • os paulistas, quero dizer, os habitantes da picture sometimes. cidade de São Paulo, foram os primeiros – 71 | 1170 Paulistas, I mean, the inhabitants from the	1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::na
1775	foto	nf	photo patience and was rude to her husband.	EP				oequipamento conseguiu as fotos mais 73 | 839 belas já tiradas da Via-Láctea	The	1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::noun.fem
1776	aplicação	nf	application	EP						1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::noun.fem
1777	rato	nm	mouse	EP						1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::noun.masc
1778	conteúdo	nm	content 72 | 942	EP				opresidente pediu desculpas pelo conteúdo		1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::noun.masc
1779	inúmero	aj	innumerable	EP						1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::aj
1780	constitucional	aj	constitutional 71 | 1611+n	EP				Ele conseguiu do Congresso uma emenda		1501-2000		freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::aj
